title,author,genre,description
"There Must Be More Than This: Finding More Life, Love and Meaning by Overcoming Your Soft Addictions",['Judith Wright'],['Compulsive behavior'],"We all have an innate desire to lead emotionally fulfilling lives, but too often we are tripped up by our dependence on seemingly harmless habits - shopping, watching television, gossiping,..."
The Coming of the French Revolution,['Georges Lefebvre'],['History'],The Coming of the French Revolution remains essential reading for anyone interested in the origins of this great turning point in the formation of the modern world. First published in...
Sea-Doo Water Vehicles Shop Manual: 1997-2001 (Clymer Personal Watercraft),['Penton Staff'],['Sports & Recreation'],Sea-Doo Water Vehicles 1997-20
Where the Heroes Are,['Miyuki Miyabe'],['Fiction'],"When her brother Hiroki disappears after a violent altercation with school bullies, Yuriko finds a magical book in his room. The book leads her to another world where she learns..."
The New Girls,['Beth Gutcheon'],['Fiction'],"The New Girls is a resonant, engrossing novel about five girls during their formative prep-school years in the tumultuous mid-sixties. Into their reality of first-class trips to Europe, resort vacations,..."
The Realms of Gold,['Margaret Drabble'],['Fiction'],"English archaeologist Frances Wingate, divorced mother of four, and distinguished scholar Karel Schmidt, selfless and marriage-imprisoned, stay-at-home, come inexorably together once more after years of on-again, off-again romance"
Evangeliario/Book of Gospels (Rite/Ritual Books),"['de Buena Prensa', 'Various']",['Religion'],"Elegante edicion de los Evangelios correspondientes a los domingos y solemnidades de los tres ciclos liturgicos. Paginas bellamente en marcadas con guias a todo color, pintadas por el padre Antonio..."
High Country: A Novel (Literature of the American West),['Willard Wyman'],['Fiction'],"After returning home from World War I, Ty Hardin returns to packing--guiding mule trains into mountains where wagons cannot travel--in the Montana mountains that he loves, but when his mentor,..."
Legal Reasoning and Political Conflict,['Cass R. Sunstein'],['Law'],"In Legal Reasoning and Political Conflict, Cass R. Sunstein, one of America's best known commentators on our legal system, offers a bold, new thesis about how the law should work..."
Learning Style Perspectives: Impact in the Classroom,"['Lynne Celli Sarasin', 'Lynne M. Celli']",['Education'],"Every teacher wants to improve teaching effectiveness, and a good place to begin is by understanding the various ways students perceive and process information. ""Learning Style Perspectives"" addresses the learning..."
Training Pointing Dogs,['Paul Long'],['Pets'],Sage guidance and backwoods wisdom make this a valuable source for training bird dogs.
Securing the Right to Employment: Social Welfare Policy and the Unemployed in the United States,['Philip Harvey'],['Business & Economics'],"Basing his proposal on plans developed by New Deal social welfare administrators, Harvey analyzes the feasibility and desirability of using public sector job creation to secure a right to employment...."
Together is All We Need (Shenandoah Sisters #4),['Michael Phillips'],['Fiction'],"Shenandoah Sisters Book 4, the sequel to The Color of Your Skin Ain't the Color of Your Heart. For over a year, Mayme--a former slave--and Katie have lived together on..."
Winter Kill,['C. J. Box'],['Fiction'],"The arrow-riddled corpse of Lamar Gardiner, district supervisor for the Twelve Sleep National Forest, and the bodies of seven illegally shot elk start Wyoming game warden Joe Pickett on a..."
First Families: A Photographic History of California Indians,"['L. Frank', 'Kim Hogeland']",['History'],"When L. Frank and Marina Drummer went on the road in 2002, they set out to visit as many people from different California tribes as possible. Crisscrossing the state, they..."
Sociocultural Contexts of Language and Literacy,"['Teresa L. McCarty', 'Lucille J. Watahomigie', 'To thi Dien', 'Bertha Perez', 'Mar¡a E. Torres-Guzman']",['Education'],"Sociocultural Contexts of Language and Literacy, Second Edition engages prospective and in-service teachers in learning about linguistically and culturally diverse students, and in using this knowledge to enrich literacy learning..."
Struwwelpeter,['Heinrich Hoffmann'],['Juvenile Fiction'],"1845 classic children's book relates the consequences, in funny rhyming couplets, that befall children who torment animals, play with matches, suck their thumbs, and fidget at meals."
Chechnya: Life in a War-Torn Society (California Series in Public Anthropology),['Valery Tishkov'],['History'],Sample Text
English for International Banking and Finance Student's Book (Cambridge Professional English),['I. E. Mackenzie'],['English language'],"Providing at least 50 hours of classroom material, this course builds financial language and teaches students about key financial concepts. It also focuses on the communication skills necessary for working..."
Dogs of War,['Sheila Keenan'],['Juvenile Fiction'],"Three fictional stories, told in graphic novel format, about soldiers in World War I, World War II, and the Vietnam War who were aided by combat dogs. Based on true..."
Incognito Street: How Travel Made Me a Writer,['Barbara Sjoholm'],['Travel'],"Barbara Sjoholm arrived in London in the winter of 1970 at the age of twenty. Like countless young Americans in that tumultuous time, she wanted to escape a country at..."
Topology of Surfaces,['L.Christine Kinsey'],['Mathematics'],""" . . . that famous pedagogical method whereby one begins with the general and proceeds to the particular only after the student is too confused to understand even that..."
The Heart of Emerson's Journals,['Ralph Waldo Emerson'],General,This is a fairly full record from 1820 to 1875 as kept by Emerson.
I Hate Fun,['Mifflin Lowe'],General,"A tongue-in-cheek look at humans' unending search for fun and amusement lampoons vacations, sports, the outdoors, holidays, and entertainment"
"Demolished Man, The",['Alfred Bester'],['Fiction'],"﻿#4 in the Millennium SF Masterworks series, a library of the finest science fiction ever written. The first Hugo Award winner for best novel in 1953. “One of the all-time..."
The Waite Group's Object-Oriented Programming in Turbo C++,['Robert Lafore'],['Computers'],"Professionals, students and computer hackers will all appreciate this new guide's thorough but foused approach to learning C++. The author of the bestselling Turbo C Programming for the IBM (250,000..."
And the Wind Blew Cold: the Story of an American Pow in North Korea,"['Richard M. Bassett', 'Lewis H. Carlson']",['Biography & Autobiography'],"When Richard Bassett returned from Korea on convalescent leave in 1953, he set down his experiences in training, combat, and captivity. More than 20 years later, hospitalized for acute Post..."
The practice of Zen,"['Taizan Maezumi', 'Bernie Glassman']",['Religion'],This updated landmark volume makes available for the first time in decades the teachings that were formative to a whole generation of American Zen teachers and students. Conceived as an...
"The Devil's Horn: the Story of the Saxophone, From Noisy Novelty To King of Cool",['Michael Segell'],['Music'],"The author charts the brief but colorful history of the saxophone, from its invention 160 years ago, through its subsequent role as a symbol of decadence and immorality, to its..."
Koramatsu: Black Curtain,"['George Takei', 'Justin Eisinger', 'Steven Scott']",['Comics & Graphic Novels'],The New York Times bestselling graphic memoir from actor/author/activist George Takei returns in a deluxe edition with 16 pages of bonus material! Experience the forces that shaped an American icon...
Better for All the World: the Secret History of Forced Sterilization and America's Quest for Racial Purity,['Harry Bruinius'],['History'],"Traces the history of eugenics in the United States, drawing on personal letters, diaries, and documents to chronicle the little-known quest for racial purity."
The Spad Driver,['John Britt'],['Fiction'],"The Spad Driver is a work of fiction portraying the world of a young American sailor who finds himself at war not only with a determined North Vietnamese enemy, but..."
High Performance Oracle8 Tuning: Performance and Tuning Techniques for Getting the Most from Your Oracle8 Database,['Donald K. Burleson'],['Computers'],"The evolution of Oracle has led to a revolution in design practices. For Oracle 10g, database physical structures have become more complex than ever before and database designers face multiple..."
A book of dwarfs,['Markus Heitz'],['Fiction'],"For countless millennia, the dwarves of the Fifthling Kingdom have defended the stone gateway into Girdlegard. Many and varied foes have hurled themselves against the portal and died attempting to..."
The everlasting righteousness,['Horatius Bonar'],General,"How Shall Man Be Just With God? asks the subtitle of 'The Everlasting Righteousness'. Here, indeed, is the greatest question a man may ask, and in this brief devotional study..."
The Last Will and Testament of Senhor da Silva Araujo,['Germano Almeida'],['Fiction'],"""In his will, Senhor da Silva Araujo has left a memoir that is a touching web of elaborate self-deceptions. He desired so ardently to prosper, to be taken seriously, and..."
The Carbohydrate Addict's Healthy Heart Program,"['Richard F. Heller', 'Rachael F. Heller', 'Frederic J. Vagnini']",['Health & Fitness'],Offers advice on how to stave off heart disease by reducing the body's cravings for carbohydrates and dependence on insulin.
Her Smoke Rose Up Forever,['James Tiptree (Jr.)'],['Fiction'],"Presents stories that deal with such topics as feminism, death, technology, sexuality, and humanity"
"Religion And Politics In America: Faith, Culture, And Strategic Choices, Second Edition (Explorations)",['Brendan Sweetman'],['Religion'],"Can relligion and politics mix? Many voices reply, ""No way!"" Yet in this provocative and timely book, Brendan Sweetman argues against this charge and the various sophisticated arguments that support..."
Classic Rush -- Moving Pictures: Authentic Guitar TAB,['Rush'],['Music'],The Camera Eye * Limelight * Red Barchetta * Tom Sawyer * Vital Signs * Witch Hunt * YYZ.
The Fall of the House of Habsburg,['Edward Crankshaw'],['Austria'],Emperor Franz Josef's struggle to hold a polyglot nation together.
"Affairs at Thrush Green (Thrush Green, Book 7)",['Miss Read'],['Fiction'],"As time unfolds in the quiet village of Thrush Green, vicar Charlie Henstock, whose home his burned to the ground, is making his new home in the neighboring village of..."
Chinese Herbs with Common Foods: Recipes for Health and Healing,['Jörg Kastner'],['Medical'],"Kastner's Chinese Nutrition Therapy is an excellent introduction to Chinese dietetics for both, students and practitioners of Chinese medicine. - I wholeheartedly endorse his book. Nigel Wiseman For millennia, the..."
Finding Bobby Fischer: Chess Interviews,['Dirk Jan ten Geuzendam'],['Games & Activities'],"‘Bobby Fischer gets up, tall, overweight, and slightly clumsy. He tries to fulfil the duties of the host and shakes hands, but his nervously darting eyes betray his unease with..."
Paul McCartney and Wings,['Garry McGee'],['Biography & Autobiography'],"After the breakup of the Beatles in 1971, Paul McCartney formed Wings with his wife Linda on keyboards, ex-Moody Blues guitarist Denny Laine, and American session drummer Denny Seiwell. For..."
Why We Look Up: Making Sense of Our Catholic Faith,['Robert J. Cormier'],['Religion'],"Offers reflections on such topics as the meaning of suffering, the glory of creation, prayer, and having a personal relationship with God."
Miracle at Sea: The Sinking of the Zamzam and Our Family's Rescue,"['Eleanor Anderson', 'Ingrid Trobisch']",['Biography & Autobiography'],"In 1941 a German raider sank the Egyptian liner Zamzam in the South Atlantic. On board was missionary Mrs. Lillian Danielson and her six children. Eleanor, who was then only..."
Wagner nights,['Ernest Newman'],['Music'],"Ernest Newman, il maggior esperto di Richard Wagner, esamina dieci tra le opere più famose del compositore tedesco, mettendo in rilievo i temi fondamentali, i miti, le fonti letterarie dei..."
One of the Living: A Player's Handbook for All Flesh Must Be Eaten,"['Various', 'Ben Monroe']",['Games'],"One of the Living is a supplement for the All Flesh Must Be Eaten RPG. In it, you will find: New skills, qualities and drawbacks for those who survive, including..."
Gestures of Conciliation: Factors Contributing to Successful Olive Branches,['Christopher Mitchell'],['Political Science'],"Gestures of Conciliation examines the ideas, assumptions and theories that underpin how leaders of parties in intractable conflicts begin and sustain a process of peacemaking by offering to their adversaries..."
Gas War: The Truth Behind the American Occupation of Afghanistan,['Ted Rall'],['Business & Economics'],"At first glance, the United States invasion of Afghanistan seemed like an obvious response to the horrifying attacks of September 11th, 2001. Now, as America remains threatened by Al Qaeda..."
Worlds Beyond: Here...Anything is Possible,['Tarashis Gangopadhyay'],['Religion'],"...In the world of life beyond death, there are seven main planes. There are different realms in these seven planes assigned for different types of souls. In the lower levels..."
Computer Graphics Using Open GL (2nd Edition),['Francis S. Hill'],['Computers'],"Highly practical, this work combines the principles and major techniques with state-of-the-art graphics that relate to things students see every day on the Internet. It uses C++ as the underlying..."
The Awakened Heart,['Gerald G. May'],['Religion'],"""Integrating the wisdom of ancient mystics and the insights of contemporary thinkers, May examines the spiritual longings that are often hidden and controlled by society's pressures and expectations. ""—Publishers Weekly"
GNU Emacs and XEmacs (With CD-ROM) (Linux),['Richard Fox'],['Computers'],Information Technology: An Introduction for Today’s Digital World introduces undergraduate students to a wide variety of concepts they will encounter throughout their IT studies and careers. The book covers computer...
VB/VBA Developer's Guide to the Windows Installer,['Mike Gunderloy'],['Computers'],"Visual Basic is the world's dominant programming language, with more than 4 million users. Microsoft now pushes VB as a serious enterprise application development tool, and the latest version allows..."
Outnumbered!: Raising 13 Kids with Humor and Prayer,['Mary Ann Kuharski'],['Catholics'],"To outsiders, the Kuharski family life sometimes looked like controlled chaos. With 13 kids--seven by birth, six by airport (adopted)--it sometimes felt that way to family members, too. There were..."
The Sniper's Wife,['Archer Mayor'],['Fiction'],"The harrowing call comes from the NYPD. Willy's ex-wife, Mary, has been found dead in her Lower East Side apartment and Willy is asked to identify the body. Torn from..."
"Menopause, Sisterhood, and Tennis: A Miraculous Journey Through ""the Change""",['Alice Wilson-Fried'],['Health & Fitness'],"In Menopause, Sisterhood, and Tennis, Wilson-Fried offers the powerful story of one woman's tangled journey through menopause. Based upon her own experience, and steeped in the rich Southern humour of..."
HEBREW THOUGHT COMPARED WITH GREEK,['Thorleif Boman'],['Philosophy'],"""Builds on the premise that language and thought are inevitably and inextricably bound up with each other. . . . A classic study of the differences between Greek and Hebrew..."
Lorenzaccio,['Alfred de Musset'],['Drama'],"Alfred de Musset no tuvo la menor duda al declarase públicamente «enfant du siècle», hijo del siglo, y sentirse por ello mismo aquejado de esa extraña y casi inefable dolencia,..."
Tangled Sheets,['Jo Leigh'],['Fiction'],"THE WRONG BED TANGLED SHEETS…TANGLED MESS It had started as a dare. Maggie Beaumont was going to finally do the wild thing with her fiancé. At a masquerade party, no..."
Nonvenomous Snakes (Pet reference books),['Pet Care Professionals'],General,Corn Snake Care: The Complete Guide to Caring for and Keeping Corn Snakes as Pets Here at Pet Care Professionals we are passionate about pet care. As a brand we...
mole,['Steve Gronert Ellerhoff'],['Nature'],"Though moles are rarely seen, they live in close proximity to humans around the world. Gardeners and farmers go to great lengths to remove molehills from their fields and gardens;..."
"History, harmony & Daniel: A new computerized evaluation",['Charles Macpherson'],['History'],"Published in 1944, this book considers musical theory and music history to create a short but comprehensive guide to the history of harmony and thus a discourse on what we..."
MCKAIN'S DILEMMA.,['Chet Williamson'],['Fiction'],Carlton Runnells is gay and has profited mightily from a marriage of convenience... he's become one of the richest men in his rural Pennsylvania area. Now his lover has disappeared...
Microsoft Office Publisher 2003: Introductory Concepts and Techniques (Shelly Cashman),"['Gary B. Shelly', 'Thomas J. Cashman', 'James S. Quasney']",['Computers'],"For the past three decades, the Shelly Cashman Series(r) has effectively introduced computers to millions of students, consistently providing the highest quality, most up-to-date, and innovative materials in computer education...."
Making Your Marriage a Love Story,"['C. Thomas Anderson', 'Maureen Anderson']",['Religion'],Everyone loves a good love story. We laugh and we cry because it touches us at the deepest levels of our emotion. But most people fail to experience the joys...
"Success With Reading: 10 Easy-to-Read American History Plays That Reach All Kinds of Readers: Reproducible, Read-Aloud Plays on Key Topics That Help ... Readers Learn the Content They Need to Know",['Sarah Glasscock'],['Juvenile Nonfiction'],"All students love learning history with these exciting, easy-to-read plays. The plays are all written on a 3rd grade reading level, so even your most challenged readers will be successful...."
Born to Trot,['Marguerite Henry'],['Juvenile Fiction'],"As he learns about the famous Hambletonian, sire of the American trotter, young Gib White dreams of some day having his own filly become a champion trotter."
Pinceladas literarias hispanoamericanas,"['Gloria Bautista Gutiérrez', 'Norma Corrales-Martin']",['Foreign Language Study'],"This unique Hispanic literature anthology seeks to fill the void of material available from female, pre-Columbian, and other marginalized writers. In these pages, 61 writers from 20 countries span over..."
The Doll Hospital,['Kallie George'],['Juvenile Fiction'],"When toys need a little (or a lot of!) TLC, they head to the Doll Hospital in this endearing picture book in the tradition of Doc McStuffins. Don’t worry, toys,..."
The American Mayor: The Best & the Worst Big-City Leaders,['Melvin G. Holli'],['History'],"The American Mayor offers a unique ranking of the nation's big-city mayors by expert scholars. Although the mayoralty is one of the most important political executive offices, it has escaped..."
The Fasting Handbook: Dining from an Empty Bowl,['Jeremy Safron'],['Health & Fitness'],It'¬?s no secret that we live in a world that is becoming increasingly toxic-from the air we breath to the food we eat to the negative thoughts we carry inside...
"The Money Mirror: How Money Reflects Women's Dreams, Fears and Desires","['Annette Lieberman', 'Vicki Lindner']",['Business & Economics'],"Today, millions of women are finding themselves heads of households and sole financial decision makers. Although they are earning more than their mothers would have dreamed possible, women still struggle..."
Losing Faith in Faith: From Preacher to Atheist,['Dan Barker'],['Religion'],A former preacher tell why he abandoned the guidance of the Bible to follow the dictates of own conscience.
Oh My God: It's Me! You Can Change Your Life -- but First -- You Must Bring Awareness to How You Are Living It,['Sheryl Valentine'],['Religion'],Valentine uniquely blends self-help and spirituality with humor and straightforward language in order to set forth the simple and striking concept: You can change your life--but first you must bring...
SAP: An Executive's Comprehensive Guide,"['Grant Norris', 'Ian Wright', 'James R. Hurley', 'John R. Dunleavy', 'Alison Gibson']",['Computers'],Crucial Help for Getting the Most from Today's Information Systems Technology Deciding what type of information systems your company will need to stay competitive into the twenty-first century is a...
The Penguin Book of Curious and Interesting Mathematics (Penguin Mathematics),['David Wells'],['Mathematics'],Provides information on numbers and what makes particular ones noteworthy
The Yugoslav Auschwitz and the Vatican,['Vladimir Dedijer'],['History'],"Firsthand testimony of survivors and eyewitnesses dramatizes this graphic account of the crimes committed during World War II at Jasenovac, the largest death camp in Yugoslavia. Dedijer's evidence attests to..."
The Tools & Techniques of Financial Planning,"['Phil Stutz', 'Barry Michels']",['Self-Help'],A groundbreaking book about personal growth that presents a uniquely effective set of four tools that bring about dynamic change in the present and impart a greater understanding of the...
3D Game Creation with CDROM (Cyberrookies),['R. Shamms Mortier'],['Computers'],Presents instructions for creating 3D comics using a personal computer. Includes software for creating graphics effects.
Legacies Of Lynching: Racial Violence And Memory,['Jonathan Markovitz'],['Social Science'],"Between 1880 and 1930, thousands of African Americans were lynched in the United States. Beyond the horrific violence inflicted on these individuals, lynching terrorized whole communities and became a defining..."
"Politically Incorrect Guide to Women, Sex, and Feminism",['Carrie L. Lukas'],['Social Science'],"Argues that American feminism advocates values which do not take into account some of the complexities of career, family, and sexuality faced by women and that women need to make..."
Leading Volunteers for Results: Building Communities Today,['Jeanne H. Bradner'],['Business & Economics'],This book is for those who find themselves president of an agency or chair of a referendum campaign or in charge of fund raising for a favorite cause -- or...
Adventures in the Human Spirit (2nd Edition),['Michael Lambek'],['Social Science'],"Based on intensive ethnographic fieldwork, this book describes and interprets trance behaviour among the Malagasy speakers of Mayotte, a small island in the Comoro Archipelago in the Indian Ocean, off..."
Fer-De-Lance,['Rex Stout'],['Fiction'],"As any herpetologist will tell you, the fer-de-lance is among the most dreaded snakes known to man. When someone makes a present of one to Nero Wolfe, Archie Goodwin knows..."
Gub Gub's Book. An Encyclopedia of Food in Twenty Volumes.,['Hugh Lofting'],['Animals'],"On a succession of evenings, the animals settle into Doctor Dolittle's kitchen to hear Gub-Gub the pig read parts of his book on food."
The Architectural Uncanny: Essays in the Modern Unhomely,['Anthony Vidler'],['Architecture'],"Anthony Vidler interprets contemporary buildings and projects in light of the resurgent interest in the uncanny as a metaphor for a fundamentally ""unhomely"" modern condition. The Architectural Uncanny presents an..."
Life-Size Dinosaurs,['Sophy Henn'],['Body size'],"Let's go on a LIFESIZE prehistoric adventure! The second interactive non-fiction adventure from bestselling picture book star, Sophy Henn. Step into the book to see how YOU measure up against..."
Heal Your Hips: How to Prevent Hip Surgery -- and What to Do If You Need It,"['Robert Klapper', 'Lynda Huey']",['Health & Fitness'],"The first comprehensive guide to hip health Avoid injury, prevent deterioration, work out in water and on land, and understand the entire range of surgical options Once considered a natural..."
Public Finance and the American Economy (2nd Edition),['Richard W. Tresch'],['Business & Economics'],"Featuring a general equilibrium framework that is both cohesive and versatile, the Second Edition of Public Finance: A Normative Theory brings new and updated information to this classic text. Through..."
"Dissociation of Trauma: Theory, Phenomenology, and Technique",['Ira Brenner'],['Psychology'],"This book is rich in clinical material which the author uses deftly to illustrate the significant issues of dissociation of trauma.""--BOOK JACKET."
"Sex, Love, and Dharma: Finding Love Without Losing Your Way",['Arthur Jeon'],['Self-Help'],"Applying the ancient wisdom of the dharma to the complexities of modern-day romance, this lively but practical guide draws on real-life anecdotes to present love as a spiritual journey and..."
The Russian Heritage Cookbook,"['Glenn Randall Mack', 'Asele Surina']",['History'],"The diversity of food cultures within the former Soviet Union, with more than 100 distinct nationalities, is overwhelming, but Food Culture in Russia and Central Asia brilliantly distills the main..."
"Come Back, Barbara","['C. John Miller', 'Barbara Miller Juliani']",['Religion'],"""A daughter's rejection of her father's faith taught him how to love her on God's terms. Their honest story of grief and reconciliation will bless all those who love prodigals""--"
All Hands on Deck! (Master Bridge Series),['David Bird'],['Games'],"Bridge cruises are all the rage and here David Bird, the number one humorous bridge writer, provides a feast of hilariously funny stories in exotic settings and, of course, some..."
Divine healing;: Is it scriptural?,['Arthur W. Pink'],['Religion'],"""Divine healing?"" Is it scriptural or unscriptural? This is a question which it is not easy to answer in a single sentence. Many passages on healing may be cited from..."
Radcliffe,['Anita Hill'],['Social Science'],"“An elegant, impassioned demand that America see gender-based violence as a cultural and structural problem that hurts everyone, not just victims and survivors… It's at times downright virtuosic in the..."
Elian McCreadys Needlepoint,['Elian Mccready'],['Crafts & Hobbies'],"A glorious collection of this well-known needlepoint designer's best work to date. Artist and embroiderer Elian McCready has been one of the best-selling designers for Ehrman Tapestry for years, and..."
Under the Frog: A Novel,['Tibor Fischer'],['Fiction'],"Follows two young Hungarian basketball players, Pataki and Gyuri, from the last years of World War II through the anti-Soviet uprising of 1956, as they search for food, lodging, and..."
Elrod McBugle on the Loose,['Jeff Strand'],['Juvenile Fiction'],"A comedy for kids...and adults who were warped as kids! The students at Greenwater Junior High have said they'll never forget this year, and Elrod McBugle is the reason. He's..."
Chema Madoz: Objetos 1990-1999,"['Chema Madoz', 'Catherine Coleman']",['Performing Arts'],"Artwork by Chema Madoz. Text by Catherine Coleman, Maria Luisa Borras, Steve Yates."
Black Genius and the American Experience,"['Dick Russell', 'Alvin F. Poussaint']",['History'],"Explores the lives and contributions of African American greats, offering inspiration from mentors of past generations"
The Doorstep of Depravity,['Noah Bond'],['Fiction'],Solo Attorney Grace O' Higgins has a new client. Kay is a skinny graduate student with an unusual problem: she must prove that she is married or lose her substantial...
The Girl Who Fell from the Sky & Other Classic Philippine Legends,['Heidi W. Durrow'],['Fiction'],"After a family tragedy orphans her, Rachel, the daughter of a Danish mother and a black G.I., moves into her grandmother's mostly black community in the 1980s, where she must..."
You Be the Jury: Courtroom III,['Marvin Miller'],['Juvenile Fiction'],"The reader is provided evidence for ten courtroom cases, and must decide whether each defendant is guilty or innocent."
Pulp Fictioneers,['John Locke'],['Language Arts & Disciplines'],"This collection is the result of combing through hundreds of issues of writing journals from the pulp era, mostly Writer's Digest and Author & Journalist, but also a variety of..."
Social Studies in Elementary Education,['Walter C. Parker'],['Education'],The author wrote this new edition of the most popular elementary social studies methods text on the market with the following three goals in mind: to present the most powerful...
Assessing Educational Leaders: Evaluating Performance for Improved Individual and Organizational Results,['Douglas B. Reeves'],['Education'],"Featuring real-world examples, this revised bestseller shows you how to improve educational leadership and organizational performance through a multidimensional leadership assessment system."
"We're Desperate: The Punk Rock Photography of Jim Jocoy, SF/LA 1978-1980","['Jim Jocoy', 'Thurston Moore', 'Exene Cervenka']",['Music'],"Interview by Thurston Moore, Essay by Exene, Introduction by Marc Jacobs 1977: Punk rock music and fashion caught like wildfire the world over. But it was in San Francisco and..."
The Fantasy Bond : Structure of Psychological Defenses,"['Robert W. Firestone', 'Richard Seiden', 'Joyce Catlett']",['Psychology'],"Based on 28 years of research into the problem of resistance, this book offers a consistently developed hypothesis centering around the concept of the ""Fantasy Bond, "" an illusion of..."
Library Of Piano Duets (1 Piano/4 Hands),"['Jennifer Watts', 'Mike Watts']",['Music'],Piano/Keyboard Methods/Series
The Dancing Chain: History and Development of the Derailleur Bicycle,['Frank J. Berto'],['Sports & Recreation'],"Unlike other bicycle history books, which cover only the first 100 years, this book deals extensively with the second century of bicycle development. It traces the development of the modern..."
Child Development in Context: Voices and Perspectives,"['David N. Sattler', 'Geoffrey P. Kramer', 'Douglas A. Bernstein', 'Virginia Shabatay']",['Family & Relationships'],"Corresponding to the organization of most child development textbooks, each chapter of this text contains 5–6 personal narratives and each narrative covers a different concept, issue, or topic within a..."
Popol Vuh: The Definitive Edition of The Mayan Book of The Dawn of Life and The Glories of Gods and Kings,"['McNulty Professor in the Poetics Program and Research Professor of Anthropology Dennis Tedlock', 'Popol Vuh']",['History'],"One of the most extraordinary works of the human imagination and the most important text in the native languages of the Americas, Popul Vuh: The Mayan Book of the Dawn..."
Ghost House,['Alexandra Adornetto'],['Juvenile Fiction'],"After her mother's sudden death, Chloe's childhood ability to see ghosts returns and she encounters the spirit of a man 157 years dead whose ghostly past love will stop at..."
The Alzheimer's Sourcebook for Caregivers: A Practical Guide for Getting Through the Day,['Frena Gray Davidson'],"[""Alzheimer's disease""]",A practical guide for getting through the day.
The story of a life *.(Memoir)(Excerpt): An article from: World Literature Today,['Joanna Parfitt'],['Language Arts & Disciplines'],"This book comes as part of a complete home study course, comprising a 40 minute video, 2 hours of audio and over 200 JustWrite Inspirational stickers in addition to this..."
Memory Notebook of Nursing Volume II (2nd Edition),"['JoAnn Graham Zerwekh', 'Jo Carol Claborn']",['Medical'],A collection of visual images to increase memory and learning for the nursing student.
Crowded to Christ,['L. E. Maxwell'],['Christian life'],"Crowded to Christ is a trumpet call to Christians to dare to be ""utterly believing believers""--New Testament Christians in this secular and carnal world. This book is a real book..."
Photoshop (Teach Yourself (McGraw-Hill)),['Kate Binder'],['Computers'],"Learn how to use the powerful digital image editing features to create, organize, and manage digital images."
From Cannon to Campbell: An Illustrated History of The Houston Oilers,['Charles N. deGravelles'],['Biography & Autobiography'],"Billy Cannon’s name, his image, and his remarkable athletic career serve as emblems for Louisiana State University, the Southeastern Conference, and college football. LSU’s only Heisman Trophy winner, Cannon led..."
A Framework for Task-Based Learning (Longman Handbooks for Language Teachers),"['Jane Willis', 'Jane Rosemary Willis']",['Education'],This is a user-friendly guide to the theory and practice of task-based learning for the classroom teacher. The book shows how the task-based approach can be used to deal with...
The Symposium (Penguin Classics),['Plato'],['Philosophy'],"A fascinating discussion on sex, gender, and human instincts, as relevant today as ever In the course of a lively drinking party, a group of Athenian intellectuals exchange views on..."
Gulf,['Jack E. Davis'],['Nature'],Winner of the 2018 Pulitzer Prize for History Winner of the 2017 Kirkus Prize for Nonfiction A National Book Critics Circle Award for Nonfiction Finalist A New York Times Notable...
Model Business Letters,"['Shirley Taylor', 'Leonard Gartside']",['Business & Economics'],"This book is the ultimate, single-source guide for writing clear, effective business documents. A comprehensive, easy-to-use reference book packed with valuable information, useful techniques, practical tips and guidelines."
Practical Statistics for Educators,"['Ruth Ravid, professor emerita, National Louis University']",['Education'],"Practical Statistics for Educators, 4th edition focuses on the application of research and statistics as applied specifically to education. Since the first edition came out in 1994, thousand of students..."
The poems of Robert Frost,['Robert Frost'],['Poetry'],"This definitive, paperback edition brings together more than three hundred fifty of Frost's poems, each one with annotations providing complete bibliographic information and noting any textual changes"
The Hammer Will Fall,['John Lawton'],['Fiction'],"British agent Joe Wilderness returns in “Lawton’s ongoing recreation of Cold War chicanery . . . one of the great pleasures of modern spy fiction” (Mick Herron, award-winning author of..."
Darkroom: A Family Exposure (Association of Writers and Writing Programs Award for Creative Nonfiction),['Jill Christman'],['Biography & Autobiography'],"The author reveals the pains and pleasures of her first thirty years of life, from childhood sexual abuse to her experiences with love, literature, and mind-altering experiences. Winner of the..."
Expanding Empires: Cultural Interaction and Exchange in World Societies from Ancient to Early Modern Times (The World Beat Series),"['Wendy F. Kasinec', 'Michael A. Polushin']",['Social Science'],"This new volume examines the processes of cultural exchange as they occurred in 'empire building, ' looking at Early Mesopotamia, Africa, Greece, Japan, India, the Arab world, and empires in..."
Beyond the Flower: The Autobiography of a Feminist Artist,['Judy Chicago'],['Art'],"Explores the influences, philosophies, and career of the noted feminist artist as well as her efforts to find a permanent home for her premier work--The Dinner Party--after its worldwide exhibition"
Short But Funky,['JT LeRoy'],['Music'],"Da Capo Best Music Writing has become one of the most eagerly awaited annuals of them all. Celebrating the year in music writing by gathering a rich array of essays,..."
Seven Wild Pigs,['Helme Heine'],['Animals'],"A collection of stories, many in rhyme, about such things as a hungry crocodile, a foolish artist, the value of drinking apple juice, and how it feels to be a..."
Miller/Hull: Architects of the Pacific Northwest,"['Sheri Olson', 'Miller Hull Partnership (Seattle, Wash.)']",['Architecture'],"""Miller/Hull's award-winning, energy-conscious designs combine with a love of local materials and structural expressiveness to define the essence of the Pacific Northwest style. Here, climate change plays a critical role..."
War and remembrance,['Herman Wouk'],['English fiction'],These two classic works capture the tide of world events even as they unfold the compelling tale of a single American family drawn into the very center of the war's...
